City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
319,walvis bay,-22.9575,14.5053,289.68,82,22,5.14,NA,1696269171
320,gordonvale,-17.0936,145.7842,295.03,98,70,1.63,AU,1696269171
321,ciudad lazaro cardenas,17.9583,-102.2,304.59,67,95,3.16,MX,1696269171
322,harar,9.3094,42.1258,291.66,58,36,1.24,ET,1696269171
323,bowen,-20.0167,148.2333,293.01,91,7,4.17,AU,1696269171
324,ishigaki,24.3448,124.1572,300.22,94,75,7.2,JP,1696269171
325,kiunga,-6.1219,141.2906,296.35,99,100,0.16,PG,1696269171
326,reyes,-14.3167,-67.3833,309.13,46,40,4.12,BO,1696269171
327,novogornyy,55.63,60.7919,285.46,73,100,2.64,RU,1696269171
328,podporozh'ye,60.9112,34.1706,281.19,92,98,1.41,RU,1696269172
329,vondrozo,-22.8167,47.2833,289.68,86,84,4.14,MG,1696269172
330,santana,-0.0583,-51.1817,307.25,49,40,6.69,BR,1696269004
331,guarapari,-20.6667,-40.4975,298.09,84,88,1.97,BR,1696269172
332,hami,42.8,93.45,291.25,30,80,2.46,CN,1696269172
333,coquimbo,-29.9533,-71.3436,290.0,63,75,5.66,CL,1696269172
334,ypsonas,34.6884,32.9574,296.69,73,20,1.54,CY,1696269172
335,sandnessjoen,66.0217,12.6316,283.38,87,75,4.63,NO,1696269172
336,mana,5.6592,-53.7767,303.88,65,98,6.7,GF,1696269172
337,zastavna,48.5231,25.8437,286.55,58,7,1.43,UA,1696269172
338,karratha,-20.7377,116.8463,298.33,28,2,3.85,AU,1696269172
339,fada,9.5667,8.3,295.06,93,91,0.77,NG,1696269172
340,katsuura,35.1333,140.3,294.4,63,40,2.99,JP,1696269172
341,kismayo,-0.3582,42.5454,298.91,85,6,6.11,SO,1696269172
342,hinton,53.4001,-117.5857,285.62,61,83,2.28,CA,1696269172
343,bardai,11.65,7.2333,296.94,82,97,2.46,NG,1696269172
344,villa gesell,-37.2639,-56.973,288.18,71,19,6.9,AR,1696269172
345,guerrero negro,27.9769,-114.0611,294.35,53,20,7.54,MX,1696269157
346,imperatriz,-5.5264,-47.4917,309.18,44,40,1.03,BR,1696269025
347,cuito,-12.3833,16.9333,294.86,50,96,1.65,AO,1696269173
348,weno,7.4515,151.8468,299.12,94,75,1.54,FM,1696269173
349,saint-joseph,-21.3667,55.6167,296.36,83,45,1.7,RE,1696269173
350,nantucket,41.2835,-70.0995,294.23,81,0,10.8,US,1696269173
351,tocopilla,-22.092,-70.1979,293.6,71,17,4.95,CL,1696269173
352,nemuro,43.3236,145.575,287.16,73,8,9.4,JP,1696269173
353,novoagansk,61.9449,76.6625,282.68,83,99,6.19,RU,1696269173
354,fada n'gourma,12.0622,0.3578,301.54,65,91,3.35,BF,1696269173
355,hovd,48.0056,91.6419,279.24,65,13,0.41,MN,1696269173
356,strelka,58.0728,93.0344,277.63,96,100,2.52,RU,1696269173
357,fruitland,38.3221,-75.6202,300.18,61,0,3.6,US,1696269173
358,ambatofinandrahana,-20.55,46.8,291.39,71,41,2.54,MG,1696269173
359,ortigueira,-24.2083,-50.9494,300.92,50,69,3.06,BR,1696269173
360,melekeok village,7.4957,134.6367,299.46,89,75,0.0,PW,1696269173
361,rabaul,-4.1967,152.1721,299.19,84,90,3.16,PG,1696269173
362,holualoa,19.6228,-155.9522,298.03,79,40,2.24,US,1696269128
363,likiep,9.8251,169.3107,301.54,80,53,6.38,MH,1696269173
364,didwana,27.4,74.5667,300.91,26,2,1.82,IN,1696269174
365,plastun,44.7561,136.2939,287.09,75,55,3.55,RU,1696269174
